state,county,"2020","2021","2022","2023"
 Colorado,Rio Blanco County,"6,520","6,442","6,549","6,569"
 Colorado,Rio Grande County,"11,541","11,406","11,337","11,188"
 Colorado,Routt County,"24,832","25,058","25,072","25,064"
 Colorado,Saguache County,"6,389","6,511","6,627","6,688"
 Colorado,San Juan County,711,741,806,802
 Colorado,San Miguel County,"8,054","8,080","8,008","7,868"
 Colorado,Sedgwick County,"2,389","2,326","2,286","2,299"
 Colorado,Summit County,"31,001","30,998","30,636","30,465"
 Colorado,Teller County,"24,744","24,945","24,860","24,617"
 Colorado,Washington County,"4,813","4,868","4,847","4,855"
 Colorado,Weld County,"331,458","339,897","350,266","359,442"
 Colorado,Yuma County,"9,971","9,925","9,895","9,862"
 Connecticut,Capitol Planning Region,"962,436","970,142","972,068","975,328"
 Connecticut,Greater Bridgeport Planning Region,"324,387","326,752","327,125","327,651"
 Connecticut,Lower Connecticut River Valley Planning Region,"173,268","175,430","175,982","176,215"
 Connecticut,Naugatuck Valley Planning Region,"449,285","452,281","453,590","456,128"
 Connecticut,Northeastern Connecticut Planning Region,"95,222","95,605","96,148","96,692"
 Connecticut,Northwest Hills Planning Region,"112,202","112,953","113,277","113,463"
 Connecticut,South Central Connecticut Planning Region,"564,076","568,450","568,402","568,158"
 Connecticut,Southeastern Connecticut Planning Region,"278,342","278,820","279,257","279,634"
 Connecticut,Western Connecticut Planning Region,"618,368","623,258","622,857","623,907"
 Delaware,Kent County,"182,315","185,043","187,758","189,789"
 Delaware,New Castle County,"570,918","572,029","575,254","578,592"
 Delaware,Sussex County,"238,629","247,809","256,447","263,509"
 District of Columbia,District of Columbia,"670,839","669,037","670,949","678,972"
 Florida,Alachua County,"279,737","281,889","284,041","285,994"
 Florida,Baker County,"28,116","28,669","27,786","28,368"
 Florida,Bay County,"174,525","179,520","185,210","190,769"
 Florida,Bradford County,"28,222","28,050","27,296","27,858"
 Florida,Brevard County,"608,775","617,900","630,707","643,979"
 Florida,Broward County,"1,943,398","1,935,575","1,946,889","1,962,531"
 Florida,Calhoun County,"13,707","13,518","13,465","13,470"
 Florida,Charlotte County,"187,995","194,934","202,582","206,134"
 Florida,Citrus County,"154,568","158,167","162,508","166,696"
 Florida,Clay County,"218,951","222,648","226,634","232,439"
 Florida,Collier County,"377,310","387,226","397,516","404,310"
 Florida,Columbia County,"69,740","69,932","71,870","73,063"
 Florida,DeSoto County,"34,086","34,333","35,320","35,979"
 Florida,Dixie County,"16,687","16,933","17,120","17,465"
 Florida,Duval County,"997,784","1,002,774","1,017,011","1,030,822"
 Florida,Escambia County,"322,568","323,459","323,860","326,928"
 Florida,Flagler County,"116,028","120,974","126,758","131,439"
 Florida,Franklin County,"12,468","12,183","12,492","12,594"
 Florida,Gadsden County,"43,411","43,599","43,393","43,833"
 Florida,Gilchrist County,"17,882","18,316","19,002","19,587"
 Florida,Glades County,"12,078","12,266","12,463","12,786"
 Florida,Gulf County,"14,259","14,462","15,299","15,693"
 Florida,Hamilton County,"13,729","13,072","13,194","13,471"
 Florida,Hardee County,"25,339","25,322","25,651","25,760"
 Florida,Hendry County,"39,723","40,215","41,391","43,333"
 Florida,Hernando County,"195,624","200,693","206,935","212,807"
 Florida,Highlands County,"101,349","103,279","105,649","107,614"
 Florida,Hillsborough County,"1,466,255","1,484,607","1,513,473","1,535,564"
 Florida,Holmes County,"19,578","19,309","19,653","19,944"
 Florida,Indian River County,"160,446","163,869","167,267","169,795"
 Florida,Jackson County,"47,096","47,119","48,255","48,622"
 Florida,Jefferson County,"14,399","14,494","15,069","15,450"
 Florida,Lafayette County,"8,218","7,952","7,777","8,078"
 Florida,Lake County,"386,216","396,352","410,090","424,462"
 Florida,Lee County,"765,547","790,888","822,391","834,573"
 Florida,Leon County,"293,955","296,007","297,282","296,913"
 Florida,Levy County,"43,059","44,156","45,253","46,545"
 Florida,Liberty County,"7,804","7,290","7,613","7,706"
 Florida,Madison County,"17,869","18,099","18,230","18,519"
 Florida,Manatee County,"401,619","413,716","429,169","441,095"
 Florida,Marion County,"377,472","385,135","396,437","409,959"
 Florida,Martin County,"158,671","160,197","161,987","163,315"
 Florida,Miami-Dade County,"2,695,685","2,669,748","2,673,056","2,686,867"
 Florida,Monroe County,"82,847","82,220","81,618","80,614"
 Florida,Nassau County,"91,031","94,399","97,826","101,501"
 Florida,Okaloosa County,"212,085","213,641","216,464","218,464"
 Florida,Okeechobee County,"39,652","40,031","40,373","41,427"
 Florida,Orange County,"1,431,679","1,427,761","1,451,761","1,471,416"
 Florida,Osceola County,"391,141","403,990","422,543","437,784"
 Florida,Palm Beach County,"1,494,282","1,503,435","1,519,867","1,533,801"
 Florida,Pasco County,"566,156","585,191","609,141","632,996"
 Florida,Pinellas County,"959,793","959,583","961,792","961,596"
 Florida,Polk County,"730,158","755,598","788,382","818,330"
 Florida,Putnam County,"73,372","74,095","74,736","75,955"
 Florida,St. Johns County,"277,099","293,251","307,072","320,110"
 Florida,St. Lucie County,"331,441","344,246","358,886","373,586"
 Florida,Santa Rosa County,"189,011","193,750","198,199","203,162"
 Florida,Sarasota County,"436,237","448,636","462,552","469,013"
 Florida,Seminole County,"471,455","470,857","478,623","484,271"
 Florida,Sumter County,"130,290","134,870","144,767","151,565"
 Florida,Suwannee County,"43,524","44,125","45,405","46,130"
 Florida,Taylor County,"21,743","20,807","21,313","21,582"
 Florida,Union County,"15,425","15,850","15,514","15,532"
 Florida,Volusia County,"555,776","566,368","579,665","590,357"
 Florida,Wakulla County,"33,893","34,270","35,169","36,449"
 Florida,Walton County,"75,941","80,021","83,404","86,354"
 Florida,Washington County,"25,320","24,867","25,405","25,602"
 Georgia,Appling County,"18,376","18,423","18,437","18,457"
 Georgia,Atkinson County,"8,308","8,348","8,160","8,293"
 Georgia,Bacon County,"11,112","11,068","11,173","11,124"
 Georgia,Baker County,"2,852","2,824","2,792","2,743"
 Georgia,Baldwin County,"43,790","43,695","43,633","43,396"
 Georgia,Banks County,"18,081","18,538","19,342","19,789"
 Georgia,Barrow County,"83,981","86,727","89,245","92,792"
 Georgia,Bartow County,"109,314","110,936","112,815","115,041"
 Georgia,Ben Hill County,"17,168","17,128","17,057","17,128"
 Georgia,Berrien County,"18,144","18,117","18,215","18,570"
 Georgia,Bibb County,"157,035","155,980","156,126","156,512"
 Georgia,Bleckley County,"12,523","12,270","12,279","12,465"
 Georgia,Brantley County,"18,044","18,119","18,210","18,401"
 Georgia,Brooks County,"16,272","16,276","16,284","16,245"
 Georgia,Bryan County,"45,043","46,974","48,218","49,739"
 Georgia,Bulloch County,"79,922","80,671","83,038","84,327"
 Georgia,Burke County,"24,635","24,362","24,434","24,438"
 Georgia,Butts County,"25,549","26,164","26,745","26,887"
 Georgia,Calhoun County,"5,574","5,541","5,474","5,457"
 Georgia,Camden County,"54,931","55,786","56,971","58,118"
 Georgia,Candler County,"11,022","10,947","10,962","11,059"
 Georgia,Carroll County,"119,498","121,595","124,530","127,098"
 Georgia,Catoosa County,"68,006","68,436","68,836","68,910"
 Georgia,Charlton County,"12,534","12,820","12,788","12,934"
 Georgia,Chatham County,"295,089","295,690","301,025","303,655"
 Georgia,Chattahoochee County,"9,475","9,044","8,746","8,661"
 Georgia,Chattooga County,"24,925","24,844","24,962","25,222"
 Georgia,Cherokee County,"268,156","274,732","281,194","286,602"
 Georgia,Clarke County,"128,551","129,206","129,726","129,933"
 Georgia,Clay County,"2,828","2,867","2,853","2,853"
 Georgia,Clayton County,"299,439","299,210","298,399","298,300"
 Georgia,Clinch County,"6,720","6,702","6,679","6,746"
 Georgia,Cobb County,"766,378","766,662","771,840","776,743"
 Georgia,Coffee County,"43,060","43,046","43,247","43,317"
 Georgia,Colquitt County,"45,891","45,763","45,830","46,167"
 Georgia,Columbia County,"156,865","159,662","162,471","165,162"
 Georgia,Cook County,"17,236","17,262","17,409","17,714"
 Georgia,Coweta County,"146,747","149,973","152,879","155,892"
 Georgia,Crawford County,"12,103","12,139","12,169","12,277"
 Georgia,Crisp County,"20,053","20,000","19,729","19,631"
 Georgia,Dade County,"16,239","16,221","16,090","16,165"
 Georgia,Dawson County,"27,059","28,498","30,189","31,732"
 Georgia,Decatur County,"29,326","29,091","29,019","29,087"
 Georgia,DeKalb County,"764,489","759,113","761,779","762,992"
 Georgia,Dodge County,"19,949","19,734","19,873","19,776"
